School ID,School,Program Name,"Program Location, State",Tuition Max,Living Expenses Max,Non-Payment Periods,IR 36,IR 60,IO 36,IO 60,DEF 36,DEF 60,market_segment,Partnership Page URL,DT/OL 36,DT/OL 60,Living Expense Loan Available,Living Expense Months (Length of program)
39,Galvanize,Software Engineering (Web Development),"Boulder, CO",15980,9000,6,no,no,yes,yes,yes,yes,SKGWD18,partner.ascentfunding.com/galvanize,no,no,no,3
39,Galvanize,Data Science,"Platte, CO",15980,9000,6,no,no,yes,yes,yes,yes,SKGDS18,partner.ascentfunding.com/galvanize,no,no,no,3
39,Galvanize,Software Engineering (Web Development),"Platte, CO",15980,9000,6,no,no,yes,yes,yes,yes,SKGWD18,partner.ascentfunding.com/galvanize,no,no,no,3
39,Galvanize,Data Science,"New York City, NY",15980,12000,6,no,no,yes,yes,yes,yes,SKGDS18,partner.ascentfunding.com/galvanize,no,no,no,3
39,Galvanize,Software Engineering (Web Development),"New York City, NY",15980,12000,6,no,no,yes,yes,yes,yes,SKGWD18,partner.ascentfunding.com/galvanize,no,no,no,3
39,Galvanize,Data Science,"Austin, TX",15980,9000,6,no,no,yes,yes,yes,yes,SKGDS18,partner.ascentfunding.com/galvanize,no,no,no,3
39,Galvanize,Software Engineering (Web Development),"Austin, TX",15980,9000,6,no,no,yes,yes,yes,yes,SKGWD18,partner.ascentfunding.com/galvanize,no,no,no,3
39,Galvanize,Data Science,"Seattle, WA",15980,12000,6,no,no,yes,yes,yes,yes,SKGDS18,partner.ascentfunding.com/galvanize,no,no,no,3
39,Galvanize,Software Engineering (Web Development),"Seattle, WA",15980,12000,6,no,no,yes,yes,yes,yes,SKGWD18,partner.ascentfunding.com/galvanize,no,no,no,3
40,Grand Circus,.NET,"Detroit, MI",11500,2500,6,no,no,yes,yes,yes,yes,SKGCNET18,partner.ascentfunding.com/grandcircus,no,no,no,3
40,Grand Circus,Front-End Bootcamp,"Detroit, MI",11500,2500,6,no,no,yes,yes,yes,yes,SKGCFE18,partner.ascentfunding.com/grandcircus,no,no,no,3
40,Grand Circus,Java Bootcamp,"Detroit, MI",11500,2500,6,no,no,yes,yes,yes,yes,SKGCJAV18,partner.ascentfunding.com/grandcircus,no,no,no,3
40,Grand Circus,Part Time .Net (C#),"Detroit, MI",11500,,0,yes,yes,no,no,no,no,SKGCPNE18,partner.ascentfunding.com/grandcircus,no,no,no,4
40,Grand Circus,Part Time Front-End Bootcamp,"Detroit, MI",11500,2500,9,no,no,yes,yes,yes,yes,SKGCPTFE17,partner.ascentfunding.com/grandcircus,no,no,no,6
40,Grand Circus,Part Time Unity Bootcamp,"Detroit, MI",11500,,6,no,no,yes,yes,yes,yes,SKGCPTU18,partner.ascentfunding.com/grandcircus,no,no,no,3
40,Grand Circus,.NET,"Grand Rapids, MI",11500,2500,6,no,no,yes,yes,yes,yes,SKGCNET18,partner.ascentfunding.com/grandcircus,no,no,no,3
40,Grand Circus,Front-End Bootcamp,"Grand Rapids, MI",11500,2500,6,no,no,yes,yes,yes,yes,SKGCFE18,partner.ascentfunding.com/grandcircus,no,no,no,3
40,Grand Circus,Part Time .Net (C#),"Grand Rapids, MI",11500,,0,yes,yes,no,no,no,no,SKGCPNE18,partner.ascentfunding.com/grandcircus,no,no,no,4
40,Grand Circus,Part Time Front-End Bootcamp,"Grand Rapids, MI",11500,2500,9,no,no,yes,yes,yes,yes,SKGCPTFE17,partner.ascentfunding.com/grandcircus,no,no,no,6
41,Hack Reactor,Software Engineering,"Los Angeles, CA",15980,7500,6,no,no,yes,yes,yes,yes,SKHRSEA18,partner.ascentfunding.com/hackreactor,no,no,no,4
41,Hack Reactor,Summer Coding Abbreviated Track,"Los Angeles, CA",10500,,4,no,no,yes,yes,yes,yes,SKHRCAA18,partner.ascentfunding.com/hackreactor,no,no,no,2
41,Hack Reactor,Summer Coding Full Length Track,"Los Angeles, CA",17980,,8,no,no,yes,yes,yes,yes,SKHRCFLA18,partner.ascentfunding.com/hackreactor,no,no,no,5
41,Hack Reactor,Remote Full Time,Online,15980,7500,6,no,no,yes,yes,yes,yes,SKHRRFTB18,partner.ascentfunding.com/hackreactor,no,no,no,4
41,Hack Reactor,Remote Part Time,Online,15980,,12,no,no,yes,yes,yes,yes,SKHRRPTA18,partner.ascentfunding.com/hackreactor,no,no,no,9
41,Hack Reactor,Software Engineering,"San Francisco, CA",15980,7500,6,no,no,yes,yes,yes,yes,SKHRSEA18,partner.ascentfunding.com/hackreactor,no,no,no,4
41,Hack Reactor,Summer Coding Abbreviated Track,"San Francisco, CA",10500,,4,no,no,yes,yes,yes,yes,SKHRCAA18,partner.ascentfunding.com/hackreactor,no,no,no,2
41,Hack Reactor,Summer Coding Full Length Track,"San Francisco, CA",17980,,8,no,no,yes,yes,yes,yes,SKHRCFLA18,partner.ascentfunding.com/hackreactor,no,no,no,5
41,Hack Reactor,Software Engineering,"New York City, NY",15980,7500,6,no,no,yes,yes,yes,yes,SKHRSEA18,partner.ascentfunding.com/hackreactor,no,no,no,4
41,Hack Reactor,Summer Coding Abbreviated Track,"New York City, NY",10500,,4,no,no,yes,yes,yes,yes,SKHRCAA18,partner.ascentfunding.com/hackreactor,no,no,no,2
41,Hack Reactor,Summer Coding Full Length Track,"New York City, NY",17980,,8,no,no,yes,yes,yes,yes,SKHRCFLA18,partner.ascentfunding.com/hackreactor,no,no,no,5
41,Hack Reactor,Software Engineering,"Austin, TX",15980,7500,6,no,no,yes,yes,yes,yes,SKHRSEA18,partner.ascentfunding.com/hackreactor,no,no,no,4
41,Hack Reactor,Summer Coding Abbreviated Track,"Austin, TX",10500,,4,no,no,yes,yes,yes,yes,SKHRCAA18,partner.ascentfunding.com/hackreactor,no,no,no,2
41,Hack Reactor,Summer Coding Full Length Track,"Austin, TX",17980,,8,no,no,yes,yes,yes,yes,SKHRCFLA18,partner.ascentfunding.com/hackreactor,no,no,no,5
42,Hackbright Academy,Software Engineering Remote,Online,12650,7500,5,no,no,yes,yes,yes,yes,SFHB17,partner.ascentfunding.com/hackbrightacademy,no,no,no,3
42,Hackbright Academy,Software Engineering Fellowship Part Time,"San Francisco, CA",14650,,9,no,no,yes,yes,yes,yes,SKHBPT17,partner.ascentfunding.com/hackbrightacademy,no,no,no,7
44,Inventive Academy,Fullstack Immersive,"Austin, TX",13000,,0,yes,yes,no,no,no,no,SKINVTI18,partner.ascentfunding.com/inventive,no,no,no,7
44,Inventive Academy,Fullstack Online,Online,11000,,0,yes,yes,no,no,no,no,SKINVTO18,partner.ascentfunding.com/inventive,no,no,no,7
45,Ironhack,Full-Time UX/UI Design,"Miami, FL",12500,5000,5,yes,no,yes,no,yes,no,SKIHUXI19,partner.ascentfunding.com/ironhack,no,no,no,3
45,Ironhack,Full-Time Web Development,"Miami, FL",12500,5000,5,yes,no,yes,no,yes,no,SFIHFT19,partner.ascentfunding.com/ironhack,no,no,no,3
45,Ironhack,Part-Time UX Design,"Miami, FL",12500,,9,yes,no,yes,no,yes,no,SKIHUXPT19,partner.ascentfunding.com/ironhack,no,no,no,6
45,Ironhack,Part-time Web Development,"Miami, FL",12500,,9,yes,no,yes,no,yes,no,SFIHPT19,partner.ascentfunding.com/ironhack,no,no,no,6
48,Launch Academy,Web Development (Software Development),"Boston, MA",16500,6000,7,no,no,yes,yes,yes,yes,SKLWD18,partner.ascentfunding.com/launchacademy,no,no,no,5
49,Learn Academy,Full-Time Immersive,"San Diego, CA",14000,,7,no,no,yes,yes,yes,yes,SFL17,partner.ascentfunding.com/learn,no,no,no,4
50,LearningFuze,Full-Immersion Bootcamp,"Irvine, CA",13995,4500,6,no,no,yes,yes,yes,yes,SKLFIM17,partner.ascentfunding.com/learningfuze,no,no,no,3
55,Momentum Learning,Immersive Coding,Online,16500,4500,7,no,no,yes,yes,yes,yes,SKMOMSD17,partner.ascentfunding.com/momentumlearn,no,no,no,4
55,Momentum Learning,Immersive Coding + Child Care,Online,16500,7500,7,no,no,yes,yes,yes,yes,SKMOMSC17,partner.ascentfunding.com/momentumlearn,no,no,no,4
57,Nashville Software School,Data Analytics,"Nashville, TN",6000,,9,no,no,yes,no,yes,no,SKNSHDS19,partner.ascentfunding.com/nashvillesoftwareschool,no,no,no,7
57,Nashville Software School,Data Science Bootcamp Part-Time,"Nashville, TN",10000,,12,no,no,yes,no,yes,no,SKNASHDS17,partner.ascentfunding.com/nashvillesoftwareschool,no,no,no,10
57,Nashville Software School,Full-Time Front End Web Designer,"Nashville, TN",10000,,9,no,no,yes,no,yes,no,SKNASHFR17,partner.ascentfunding.com/nashvillesoftwareschool,no,no,no,7
57,Nashville Software School,Full-Time Web Development,"Nashville, TN",10000,,9,no,no,yes,no,yes,no,SKNASHWEB1,partner.ascentfunding.com/nashvillesoftwareschool,no,no,no,7
57,Nashville Software School,Part-Time Web Development,"Nashville, TN",10000,,0,yes,no,no,no,no,no,SKNSSWPT17,partner.ascentfunding.com/nashvillesoftwareschool,no,no,no,13
63,North American Lineman Training Center,Lineworker Training,"McEwen, TN",10830,,6,no,no,yes,no,yes,no,SKNALTC18,partner.ascentfunding.com/naltc,no,no,no,4
65,NYC Data Science Academy,Data Science Bootcamp - Live Online,Online,17600,7500,6,no,no,yes,yes,yes,yes,SFNYCDSA,partner.ascentfunding.com/nycdatascience,no,no,no,3
65,NYC Data Science Academy,Data Science Bootcamp - Online Part-Time,Online,17600,,0,yes,yes,no,no,no,no,SFNYCDSAPT,partner.ascentfunding.com/nycdatascience,no,no,no,6
65,NYC Data Science Academy,Data Science Bootcamp - Online Full-Time,Online,17600,,7,no,no,yes,yes,yes,yes,SKNYSANY18,partner.ascentfunding.com/nycdatascience,no,no,no,4
68,Operation Spark,Immersion Bootcamp,"New Orleans, LA",11000,4500,6,no,no,yes,no,yes,no,SKOSIM17,partner.ascentfunding.com/operationspark,no,no,no,3
70,PDX Code Guild,Advanced JavaScript/Node and React,"Portland, OR",11500,7500,5,no,no,yes,yes,yes,yes,SKPDXAJ17,partner.ascentfunding.com/pdxcodeguild,no,no,no,3
